"symbol","yahoo_symbol","name","aliases"
"INDUSTOWER","INDUSTOWER.NS","Indus Towers Ltd.","industower|indus towers ltd.|indus towers"
"INDUSINDBK","INDUSINDBK.NS","IndusInd Bank Ltd.","indusindbk|indusind bank ltd.|indusind bank|indusind"
"NAUKRI","NAUKRI.NS","Info Edge (India) Ltd.","naukri|info edge (india) ltd.|info edge"
"INFY","INFY.NS","Infosys Ltd.","infy|infosys ltd.|infosys"
"INOXWIND","INOXWIND.NS","Inox Wind Ltd.","inoxwind|inox wind ltd.|inox wind"
"INTELLECT","INTELLECT.NS","Intellect Design Arena Ltd.","intellect|intellect design arena ltd.|intellect design arena"
"INDIGO","INDIGO.NS","InterGlobe Aviation Ltd.","indigo|interglobe aviation ltd.|interglobe aviation"
"IGIL","IGIL.NS","International Gemological Institute Ltd.","igil|international gemological institute ltd.|international gemological institute"
"IKS","IKS.NS","Inventurus Knowledge Solutions Ltd.","iks|inventurus knowledge solutions ltd.|inventurus knowledge solutions"
"IPCALAB","IPCALAB.NS","Ipca Laboratories Ltd.","ipcalab|ipca laboratories ltd.|ipca laboratories"
"JKCEMENT","JKCEMENT.NS","J.K. Cement Ltd.","jkcement|j.k. cement ltd.|j k cement"
"JBMA","JBMA.NS","JBM Auto Ltd.","jbma|jbm auto ltd.|jbm auto"
"JKTYRE","JKTYRE.NS","JK Tyre & Industries Ltd.","jktyre|jk tyre & industries ltd.|jk tyre &"
"JMFINANCIL","JMFINANCIL.NS","JM Financial Ltd.","jmfinancil|jm financial ltd.|jm financial"
"JSWCEMENT","JSWCEMENT.NS","JSW Cement Ltd.","jswcement|jsw cement ltd.|jsw cement"
"JSWDULUX","JSWDULUX.NS","JSW Dulux Ltd.","jswdulux|jsw dulux ltd.|jsw dulux"
"JSWENERGY","JSWENERGY.NS","JSW Energy Ltd.","jswenergy|jsw energy ltd.|jsw energy"
"JSWINFRA","JSWINFRA.NS","JSW Infrastructure Ltd.","jswinfra|jsw infrastructure ltd.|jsw infrastructure"
"JSWSTEEL","JSWSTEEL.NS","JSW Steel Ltd.","jswsteel|jsw steel ltd.|jsw steel"
"JAINREC","JAINREC.NS","Jain Resource Recycling Ltd.","jainrec|jain resource recycling ltd.|jain resource recycling"
"JPPOWER","JPPOWER.NS","Jaiprakash Power Ventures Ltd.","jppower|jaiprakash power ventures ltd.|jaiprakash power ventures"
"J&KBANK","J&KBANK.NS","Jammu & Kashmir Bank Ltd.","j&kbank|jammu & kashmir bank ltd.|jammu & kashmir bank"
"JINDALSAW","JINDALSAW.NS","Jindal Saw Ltd.","jindalsaw|jindal saw ltd.|jindal saw"
"JSL","JSL.NS","Jindal Stainless Ltd.","jsl|jindal stainless ltd.|jindal stainless"
"JINDALSTEL","JINDALSTEL.NS","Jindal Steel Ltd.","jindalstel|jindal steel ltd.|jindal steel|jspl"
"JIOFIN","JIOFIN.NS","Jio Financial Services Ltd.","jiofin|jio financial services ltd.|jio financial services"
"JUBLFOOD","JUBLFOOD.NS","Jubilant Foodworks Ltd.","jublfood|jubilant foodworks ltd.|jubilant foodworks"
"JUBLINGREA","JUBLINGREA.NS","Jubilant Ingrevia Ltd.","jublingrea|jubilant ingrevia ltd.|jubilant ingrevia"
"JUBLPHARMA","JUBLPHARMA.NS","Jubilant Pharmova Ltd.","jublpharma|jubilant pharmova ltd.|jubilant pharmova"
"JWL","JWL.NS","Jupiter Wagons Ltd.","jwl|jupiter wagons ltd.|jupiter wagons"
"JYOTICNC","JYOTICNC.NS","Jyoti CNC Automation Ltd.","jyoticnc|jyoti cnc automation ltd.|jyoti cnc automation"
"KPRMILL","KPRMILL.NS","K.P.R. Mill Ltd.","kprmill|k.p.r. mill ltd.|k p r mill"
"KEI","KEI.NS","KEI Industries Ltd.","kei|kei industries ltd."
"KPITTECH","KPITTECH.NS","KPIT Technologies Ltd.","kpittech|kpit technologies ltd.|kpit technologies"
"KAJARIACER","KAJARIACER.NS","Kajaria Ceramics Ltd.","kajariacer|kajaria ceramics ltd.|kajaria ceramics"
"KPIL","KPIL.NS","Kalpataru Projects International Ltd.","kpil|kalpataru projects international ltd.|kalpataru projects international"
"KALYANKJIL","KALYANKJIL.NS","Kalyan Jewellers India Ltd.","kalyankjil|kalyan jewellers india ltd.|kalyan jewellers"
"KARURVYSYA","KARURVYSYA.NS","Karur Vysya Bank Ltd.","karurvysya|karur vysya bank ltd.|karur vysya bank"
"KAYNES","KAYNES.NS","Kaynes Technology India Ltd.","kaynes|kaynes technology india ltd.|kaynes technology"
"KEC","KEC.NS","Kec International Ltd.","kec|kec international ltd.|kec international"
"KFINTECH","KFINTECH.NS","Kfin Technologies Ltd.","kfintech|kfin technologies ltd.|kfin technologies"
"KIRLOSENG","KIRLOSENG.NS","Kirloskar Oil Eng Ltd.","kirloseng|kirloskar oil eng ltd.|kirloskar oil eng"
"KOTAKBANK","KOTAKBANK.NS","Kotak Mahindra Bank Ltd.","kotakbank|kotak mahindra bank ltd.|kotak mahindra bank|kotak|kotak bank"
"KIMS","KIMS.NS","Krishna Institute of Medical Sciences Ltd.","kims|krishna institute of medical sciences ltd.|krishna institute of medical sciences"
"LTF","LTF.NS","L&T Finance Ltd.","ltf|l&t finance ltd.|l&t finance"
"LTTS","LTTS.NS","L&T Technology Services Ltd.","ltts|l&t technology services ltd.|l&t technology services"
"LGEINDIA","LGEINDIA.NS","LG Electronics India Ltd.","lgeindia|lg electronics india ltd.|lg electronics"
"LICHSGFIN","LICHSGFIN.NS","LIC Housing Finance Ltd.","lichsgfin|lic housing finance ltd.|lic housing finance"
"LTFOODS","LTFOODS.NS","LT Foods Ltd.","ltfoods|lt foods ltd.|lt foods"
"LTM","LTM.NS","LTM Ltd.","ltm|ltm ltd."
"LT","LT.NS","Larsen & Toubro Ltd.","lt|larsen & toubro ltd.|larsen & toubro|larsen|l&t"
"LATENTVIEW","LATENTVIEW.NS","Latent View Analytics Ltd.","latentview|latent view analytics ltd.|latent view analytics"
"LAURUSLABS","LAURUSLABS.NS","Laurus Labs Ltd.","lauruslabs|laurus labs ltd.|laurus labs"
"THELEELA","THELEELA.NS","Leela Palaces Hotels & Resorts Ltd.","theleela|leela palaces hotels & resorts ltd.|leela palaces hotels & resorts"
"LEMONTREE","LEMONTREE.NS","Lemon Tree Hotels Ltd.","lemontree|lemon tree hotels ltd.|lemon tree hotels"
"LENSKART","LENSKART.NS","Lenskart Solutions Ltd.","lenskart|lenskart solutions ltd.|lenskart solutions"
"LICI","LICI.NS","Life Insurance Corporation of India","lici|life insurance corporation of india|life insurance of|lic|life insurance corporation"
"LINDEINDIA","LINDEINDIA.NS","Linde India Ltd.","lindeindia|linde india ltd.|linde"
"LLOYDSME","LLOYDSME.NS","Lloyds Metals And Energy Ltd.","lloydsme|lloyds metals and energy ltd.|lloyds metals and energy"
"LODHA","LODHA.NS","Lodha Developers Ltd.","lodha|lodha developers ltd.|lodha developers"
"LUPIN","LUPIN.NS","Lupin Ltd.","lupin|lupin ltd."
"MMTC","MMTC.NS","MMTC Ltd.","mmtc|mmtc ltd."
"MRF","MRF.NS","MRF Ltd.","mrf|mrf ltd."
"MGL","MGL.NS","Mahanagar Gas Ltd.","mgl|mahanagar gas ltd.|mahanagar gas"
"M&MFIN","M&MFIN.NS","Mahindra & Mahindra Financial Services Ltd.","m&mfin|mahindra & mahindra financial services ltd.|mahindra & mahindra financial services"
"M&M","M&M.NS","Mahindra & Mahindra Ltd.","m&m|mahindra & mahindra ltd.|mahindra & mahindra|mahindra|mahindra and mahindra"
"MANAPPURAM","MANAPPURAM.NS","Manappuram Finance Ltd.","manappuram|manappuram finance ltd.|manappuram finance"
"MRPL","MRPL.NS","Mangalore Refinery & Petrochemicals Ltd.","mrpl|mangalore refinery & petrochemicals ltd.|mangalore refinery & petrochemicals"
"MANKIND","MANKIND.NS","Mankind Pharma Ltd.","mankind|mankind pharma ltd.|mankind pharma"
"MARICO","MARICO.NS","Marico Ltd.","marico|marico ltd."
"MARUTI","MARUTI.NS","Maruti Suzuki India Ltd.","maruti|maruti suzuki india ltd.|maruti suzuki"
"MFSL","MFSL.NS","Max Financial Services Ltd.","mfsl|max financial services ltd.|max financial services"
"MAXHEALTH","MAXHEALTH.NS","Max Healthcare Institute Ltd.","maxhealth|max healthcare institute ltd.|max healthcare institute|max healthcare|max health"
"MAZDOCK","MAZDOCK.NS","Mazagoan Dock Shipbuilders Ltd.","mazdock|mazagoan dock shipbuilders ltd.|mazagoan dock shipbuilders"
"MEESHO","MEESHO.NS","Meesho Ltd.","meesho|meesho ltd."
"MINDACORP","MINDACORP.NS","Minda Corporation Ltd.","mindacorp|minda corporation ltd.|minda"
"MSUMI","MSUMI.NS","Motherson Sumi Wiring India Ltd.","msumi|motherson sumi wiring india ltd.|motherson sumi wiring"
"MOTILALOFS","MOTILALOFS.NS","Motilal Oswal Financial Services Ltd.","motilalofs|motilal oswal financial services ltd.|motilal oswal financial services"
"MPHASIS","MPHASIS.NS","MphasiS Ltd.","mphasis|mphasis ltd."
"MCX","MCX.NS","Multi Commodity Exchange of India Ltd.","mcx|multi commodity exchange of india ltd.|multi commodity exchange of"
"MUTHOOTFIN","MUTHOOTFIN.NS","Muthoot Finance Ltd.","muthootfin|muthoot finance ltd.|muthoot finance"
"NATCOPHARM","NATCOPHARM.NS","NATCO Pharma Ltd.","natcopharm|natco pharma ltd.|natco pharma"
"NBCC","NBCC.NS","NBCC (India) Ltd.","nbcc|nbcc (india) ltd."
"NCC","NCC.NS","NCC Ltd.","ncc|ncc ltd."
"NHPC","NHPC.NS","NHPC Ltd.","nhpc|nhpc ltd."
"NLCINDIA","NLCINDIA.NS","NLC India Ltd.","nlcindia|nlc india ltd.|nlc"
"NMDC","NMDC.NS","NMDC Ltd.","nmdc|nmdc ltd."
"NSLNISP","NSLNISP.NS","NMDC Steel Ltd.","nslnisp|nmdc steel ltd.|nmdc steel"
"NTPCGREEN","NTPCGREEN.NS","NTPC Green Energy Ltd.","ntpcgreen|ntpc green energy ltd.|ntpc green energy"
"NTPC","NTPC.NS","NTPC Ltd.","ntpc|ntpc ltd."
"NH","NH.NS","Narayana Hrudayalaya Ltd.","nh|narayana hrudayalaya ltd.|narayana hrudayalaya"
"NATIONALUM","NATIONALUM.NS","National Aluminium Co. Ltd.","nationalum|national aluminium co. ltd.|national aluminium"
"NAVA","NAVA.NS","Nava Ltd.","nava|nava ltd."
"NAVINFLUOR","NAVINFLUOR.NS","Navin Fluorine International Ltd.","navinfluor|navin fluorine international ltd.|navin fluorine international"
"NESTLEIND","NESTLEIND.NS","Nestle India Ltd.","nestleind|nestle india ltd.|nestle|nestle india"
"NETWEB","NETWEB.NS","Netweb Technologies India Ltd.","netweb|netweb technologies india ltd.|netweb technologies"
"NEULANDLAB","NEULANDLAB.NS","Neuland Laboratories Ltd.","neulandlab|neuland laboratories ltd.|neuland laboratories"
"NEWGEN","NEWGEN.NS","Newgen Software Technologies Ltd.","newgen|newgen software technologies ltd.|newgen software technologies"
"NAM-INDIA","NAM-INDIA.NS","Nippon Life India Asset Management Ltd.","nam-india|nippon life india asset management ltd.|nippon life asset management"
"NIVABUPA","NIVABUPA.NS","Niva Bupa Health Insurance Company Ltd.","nivabupa|niva bupa health insurance company ltd.|niva bupa health insurance"
"NUVAMA","NUVAMA.NS","Nuvama Wealth Management Ltd.","nuvama|nuvama wealth management ltd.|nuvama wealth management"
"NUVOCO","NUVOCO.NS","Nuvoco Vistas Corporation Ltd.","nuvoco|nuvoco vistas corporation ltd.|nuvoco vistas"
"OBEROIRLTY","OBEROIRLTY.NS","Oberoi Realty Ltd.","oberoirlty|oberoi realty ltd.|oberoi realty"
"ONGC","ONGC.NS","Oil & Natural Gas Corporation Ltd.","ongc|oil & natural gas corporation ltd.|oil & natural gas"
"OIL","OIL.NS","Oil India Ltd.","oil|oil india ltd."
"OLAELEC","OLAELEC.NS","Ola Electric Mobility Ltd.","olaelec|ola electric mobility ltd.|ola electric mobility"
"OLECTRA","OLECTRA.NS","Olectra Greentech Ltd.","olectra|olectra greentech ltd.|olectra greentech"
"PAYTM","PAYTM.NS","One 97 Communications Ltd.","paytm|one 97 communications ltd.|one 97 communications"
"ONESOURCE","ONESOURCE.NS","Onesource Specialty Pharma Ltd.","onesource|onesource specialty pharma ltd.|onesource specialty pharma"
"OFSS","OFSS.NS","Oracle Financial Services Software Ltd.","ofss|oracle financial services software ltd.|oracle financial services software"
"POLICYBZR","POLICYBZR.NS","PB Fintech Ltd.","policybzr|pb fintech ltd.|pb fintech"
"PCBL","PCBL.NS","PCBL Chemical Ltd.","pcbl|pcbl chemical ltd.|pcbl chemical"
"PGEL","PGEL.NS","PG Electroplast Ltd.","pgel|pg electroplast ltd.|pg electroplast"
"PIIND","PIIND.NS","PI Industries Ltd.","piind|pi industries ltd.|pi"
"PNBHOUSING","PNBHOUSING.NS","PNB Housing Finance Ltd.","pnbhousing|pnb housing finance ltd.|pnb housing finance"
"PTCIL","PTCIL.NS","PTC Industries Ltd.","ptcil|ptc industries ltd.|ptc"
"PVRINOX","PVRINOX.NS","PVR INOX Ltd.","pvrinox|pvr inox ltd.|pvr inox"
"PAGEIND","PAGEIND.NS","Page Industries Ltd.","pageind|page industries ltd.|page"
"PARADEEP","PARADEEP.NS","Paradeep Phosphates Ltd.","paradeep|paradeep phosphates ltd.|paradeep phosphates"
"PATANJALI","PATANJALI.NS","Patanjali Foods Ltd.","patanjali|patanjali foods ltd.|patanjali foods"
"PERSISTENT","PERSISTENT.NS","Persistent Systems Ltd.","persistent|persistent systems ltd.|persistent systems"
"PETRONET","PETRONET.NS","Petronet LNG Ltd.","petronet|petronet lng ltd.|petronet lng"
"PFIZER","PFIZER.NS","Pfizer Ltd.","pfizer|pfizer ltd."
"PHOENIXLTD","PHOENIXLTD.NS","Phoenix Mills Ltd.","phoenixltd|phoenix mills ltd.|phoenix mills"
"PWL","PWL.NS","Physicswallah Ltd.","pwl|physicswallah ltd.|physicswallah"
"PIDILITIND","PIDILITIND.NS","Pidilite Industries Ltd.","pidilitind|pidilite industries ltd.|pidilite|fevicol"
"PINELABS","PINELABS.NS","Pine Labs Ltd.","pinelabs|pine labs ltd.|pine labs"
"PIRAMALFIN","PIRAMALFIN.NS","Piramal Finance Ltd.","piramalfin|piramal finance ltd.|piramal finance"
"PPLPHARMA","PPLPHARMA.NS","Piramal Pharma Ltd.","pplpharma|piramal pharma ltd.|piramal pharma"
"POLYMED","POLYMED.NS","Poly Medicure Ltd.","polymed|poly medicure ltd.|poly medicure"
"POLYCAB","POLYCAB.NS","Polycab India Ltd.","polycab|polycab india ltd."
"POONAWALLA","POONAWALLA.NS","Poonawalla Fincorp Ltd.","poonawalla|poonawalla fincorp ltd.|poonawalla fincorp"
"PFC","PFC.NS","Power Finance Corporation Ltd.","pfc|power finance corporation ltd.|power finance|power finance corporation"
"POWERGRID","POWERGRID.NS","Power Grid Corporation of India Ltd.","powergrid|power grid corporation of india ltd.|power grid of|power grid"
"PREMIERENE","PREMIERENE.NS","Premier Energies Ltd.","premierene|premier energies ltd.|premier energies"
"PRESTIGE","PRESTIGE.NS","Prestige Estates Projects Ltd.","prestige|prestige estates projects ltd.|prestige estates projects"
"PFOCUS","PFOCUS.NS","Prime Focus Ltd.","pfocus|prime focus ltd.|prime focus"
"PNB","PNB.NS","Punjab National Bank","pnb|punjab national bank"
"RRKABEL","RRKABEL.NS","R R Kabel Ltd.","rrkabel|r r kabel ltd.|r r kabel"
"RBLBANK","RBLBANK.NS","RBL Bank Ltd.","rblbank|rbl bank ltd.|rbl bank"
"RECLTD","RECLTD.NS","REC Ltd.","recltd|rec ltd.|rec|rural electrification corporation"
"RHIM","RHIM.NS","RHI MAGNESITA INDIA LTD.","rhim|rhi magnesita india ltd.|rhi magnesita"
"RITES","RITES.NS","RITES Ltd.","rites|rites ltd."
"RADICO","RADICO.NS","Radico Khaitan Ltd","radico|radico khaitan ltd|radico khaitan"
"RVNL","RVNL.NS","Rail Vikas Nigam Ltd.","rvnl|rail vikas nigam ltd.|rail vikas nigam"
"RAILTEL","RAILTEL.NS","Railtel Corporation Of India Ltd.","railtel|railtel corporation of india ltd.|railtel of"
"RAINBOW","RAINBOW.NS","Rainbow Childrens Medicare Ltd.","rainbow|rainbow childrens medicare ltd.|rainbow childrens medicare"
"RKFORGE","RKFORGE.NS","Ramkrishna Forgings Ltd.","rkforge|ramkrishna forgings ltd.|ramkrishna forgings"
"REDINGTON","REDINGTON.NS","Redington Ltd.","redington|redington ltd."
"RELIANCE","RELIANCE.NS","Reliance Industries Ltd.","reliance|reliance industries ltd.|ril|jio"
"RPOWER","RPOWER.NS","Reliance Power Ltd.","rpower|reliance power ltd.|reliance power"
"SBFC","SBFC.NS","SBFC Finance Ltd.","sbfc|sbfc finance ltd.|sbfc finance"
"SBICARD","SBICARD.NS","SBI Cards and Payment Services Ltd.","sbicard|sbi cards and payment services ltd.|sbi cards and payment services"
"SBILIFE","SBILIFE.NS","SBI Life Insurance Company Ltd.","sbilife|sbi life insurance company ltd.|sbi life insurance|sbi life"
"SJVN","SJVN.NS","SJVN Ltd.","sjvn|sjvn ltd."
"SRF","SRF.NS","SRF Ltd.","srf|srf ltd."
"SAGILITY","SAGILITY.NS","Sagility Ltd.","sagility|sagility ltd."
"SAILIFE","SAILIFE.NS","Sai Life Sciences Ltd.","sailife|sai life sciences ltd.|sai life sciences"
"SAMMAANCAP","SAMMAANCAP.NS","Sammaan Capital Ltd.","sammaancap|sammaan capital ltd.|sammaan capital"
"MOTHERSON","MOTHERSON.NS","Samvardhana Motherson International Ltd.","motherson|samvardhana motherson international ltd.|samvardhana motherson international|samvardhana motherson"
"SAPPHIRE","SAPPHIRE.NS","Sapphire Foods India Ltd.","sapphire|sapphire foods india ltd.|sapphire foods"
"SARDAEN","SARDAEN.NS","Sarda Energy and Minerals Ltd.","sardaen|sarda energy and minerals ltd.|sarda energy and minerals"
"SAREGAMA","SAREGAMA.NS","Saregama India Ltd","saregama|saregama india ltd"
"SCHAEFFLER","SCHAEFFLER.NS","Schaeffler India Ltd.","schaeffler|schaeffler india ltd."
"SCHNEIDER","SCHNEIDER.NS","Schneider Electric Infrastructure Ltd.","schneider|schneider electric infrastructure ltd.|schneider electric infrastructure"
"SCI","SCI.NS","Shipping Corporation of India Ltd.","sci|shipping corporation of india ltd.|shipping of"
"SHREECEM","SHREECEM.NS","Shree Cement Ltd.","shreecem|shree cement ltd.|shree cement"
"SHRIRAMFIN","SHRIRAMFIN.NS","Shriram Finance Ltd.","shriramfin|shriram finance ltd.|shriram finance"
"SHYAMMETL","SHYAMMETL.NS","Shyam Metalics and Energy Ltd.","shyammetl|shyam metalics and energy ltd.|shyam metalics and energy"
"ENRIN","ENRIN.NS","Siemens Energy India Ltd.","enrin|siemens energy india ltd.|siemens energy"
"SIEMENS","SIEMENS.NS","Siemens Ltd.","siemens|siemens ltd."
"SIGNATURE","SIGNATURE.NS","Signatureglobal (India) Ltd.","signature|signatureglobal (india) ltd.|signatureglobal"
"SOBHA","SOBHA.NS","Sobha Ltd.","sobha|sobha ltd."
"SOLARINDS","SOLARINDS.NS","Solar Industries India Ltd.","solarinds|solar industries india ltd.|solar"
"SONACOMS","SONACOMS.NS","Sona BLW Precision Forgings Ltd.","sonacoms|sona blw precision forgings ltd.|sona blw precision forgings"
"SONATSOFTW","SONATSOFTW.NS","Sonata Software Ltd.","sonatsoftw|sonata software ltd.|sonata software"
"STARHEALTH","STARHEALTH.NS","Star Health and Allied Insurance Company Ltd.","starhealth|star health and allied insurance company ltd.|star health and allied insurance"
"SBIN","SBIN.NS","State Bank of India","sbin|state bank of india|state bank of|sbi"
"SAIL","SAIL.NS","Steel Authority of India Ltd.","sail|steel authority of india ltd.|steel authority of"
"SUMICHEM","SUMICHEM.NS","Sumitomo Chemical India Ltd.","sumichem|sumitomo chemical india ltd.|sumitomo chemical"
"SUNPHARMA","SUNPHARMA.NS","Sun Pharmaceutical Industries Ltd.","sunpharma|sun pharmaceutical industries ltd.|sun pharmaceutical|sun pharma"
"SUNTV","SUNTV.NS","Sun TV Network Ltd.","suntv|sun tv network ltd.|sun tv network"
"SUNDARMFIN","SUNDARMFIN.NS","Sundaram Finance Ltd.","sundarmfin|sundaram finance ltd.|sundaram finance"
"SUPREMEIND","SUPREMEIND.NS","Supreme Industries Ltd.","supremeind|supreme industries ltd.|supreme"
"SPLPETRO","SPLPETRO.NS","Supreme Petrochem Ltd.","splpetro|supreme petrochem ltd.|supreme petrochem"
"SUZLON","SUZLON.NS","Suzlon Energy Ltd.","suzlon|suzlon energy ltd.|suzlon energy"
"SWANCORP","SWANCORP.NS","Swan Corp Ltd.","swancorp|swan corp ltd.|swan"
"SWIGGY","SWIGGY.NS","Swiggy Ltd.","swiggy|swiggy ltd."
"SYNGENE","SYNGENE.NS","Syngene International Ltd.","syngene|syngene international ltd.|syngene international"
"SYRMA","SYRMA.NS","Syrma SGS Technology Ltd.","syrma|syrma sgs technology ltd.|syrma sgs technology"
"TBOTEK","TBOTEK.NS","TBO Tek Ltd.","tbotek|tbo tek ltd.|tbo tek"
"TVSMOTOR","TVSMOTOR.NS","TVS Motor Company Ltd.","tvsmotor|tvs motor company ltd.|tvs motor|tvs"
"TATACAP","TATACAP.NS","Tata Capital Ltd.","tatacap|tata capital ltd.|tata capital"
"TATACHEM","TATACHEM.NS","Tata Chemicals Ltd.","tatachem|tata chemicals ltd.|tata chemicals"
"TATACOMM","TATACOMM.NS","Tata Communications Ltd.","tatacomm|tata communications ltd.|tata communications"
"TCS","TCS.NS","Tata Consultancy Services Ltd.","tcs|tata consultancy services ltd.|tata consultancy services|tata consultancy"
"TATACONSUM","TATACONSUM.NS","Tata Consumer Products Ltd.","tataconsum|tata consumer products ltd.|tata consumer products|tata consumer"
"TATAELXSI","TATAELXSI.NS","Tata Elxsi Ltd.","tataelxsi|tata elxsi ltd.|tata elxsi"
"TATAINVEST","TATAINVEST.NS","Tata Investment Corporation Ltd.","tatainvest|tata investment corporation ltd.|tata investment"
"TMCV","TMCV.NS|TATAMOTORS.NS","Tata Motors Ltd.","tmcv|tata motors ltd.|tata motors|tata motors commercial vehicles|tata motors cv"
"TMPV","TMPV.NS|TATAMOTORS.NS","Tata Motors Passenger Vehicles Ltd.","tmpv|tata motors passenger vehicles ltd.|tata motors passenger vehicles|tata motors|tata motors pv"
"TATAPOWER","TATAPOWER.NS","Tata Power Co. Ltd.","tatapower|tata power co. ltd.|tata power"
"TATASTEEL","TATASTEEL.NS","Tata Steel Ltd.","tatasteel|tata steel ltd.|tata steel"
"TATATECH","TATATECH.NS","Tata Technologies Ltd.","tatatech|tata technologies ltd.|tata technologies"
"TTML","TTML.NS","Tata Teleservices (Maharashtra) Ltd.","ttml|tata teleservices (maharashtra) ltd.|tata teleservices maharashtra"
"TECHM","TECHM.NS","Tech Mahindra Ltd.","techm|tech mahindra ltd.|tech mahindra"
"TECHNOE","TECHNOE.NS","Techno Electric & Engineering Company Ltd.","technoe|techno electric & engineering company ltd.|techno electric & engineering"
"TEGA","TEGA.NS","Tega Industries Ltd.","tega|tega industries ltd."
"TEJASNET","TEJASNET.NS","Tejas Networks Ltd.","tejasnet|tejas networks ltd.|tejas networks"
"TENNIND","TENNIND.NS","Tenneco Clean Air India Ltd.","tennind|tenneco clean air india ltd.|tenneco clean air"
"NIACL","NIACL.NS","The New India Assurance Company Ltd.","niacl|the new india assurance company ltd.|the new assurance"
"RAMCOCEM","RAMCOCEM.NS","The Ramco Cements Ltd.","ramcocem|the ramco cements ltd.|the ramco cements"
"THERMAX","THERMAX.NS","Thermax Ltd.","thermax|thermax ltd."
"TIMKEN","TIMKEN.NS","Timken India Ltd.","timken|timken india ltd."
"TITAGARH","TITAGARH.NS","Titagarh Rail Systems Ltd.","titagarh|titagarh rail systems ltd.|titagarh rail systems"
"TITAN","TITAN.NS","Titan Company Ltd.","titan|titan company ltd."
"TORNTPHARM","TORNTPHARM.NS","Torrent Pharmaceuticals Ltd.","torntpharm|torrent pharmaceuticals ltd.|torrent pharmaceuticals|torrent pharma"
"TORNTPOWER","TORNTPOWER.NS","Torrent Power Ltd.","torntpower|torrent power ltd.|torrent power"
"TARIL","TARIL.NS","Transformers And Rectifiers (India) Ltd.","taril|transformers and rectifiers (india) ltd.|transformers and rectifiers"
"TRAVELFOOD","TRAVELFOOD.NS","Travel Food Services Ltd.","travelfood|travel food services ltd.|travel food services"
"TRENT","TRENT.NS","Trent Ltd.","trent|trent ltd.|zudio|westside"
"TRIDENT","TRIDENT.NS","Trident Ltd.","trident|trident ltd."
"TRITURBINE","TRITURBINE.NS","Triveni Turbine Ltd.","triturbine|triveni turbine ltd.|triveni turbine"
"TIINDIA","TIINDIA.NS","Tube Investments of India Ltd.","tiindia|tube investments of india ltd.|tube investments of"
"UCOBANK","UCOBANK.NS","UCO Bank","ucobank|uco bank"
"UNOMINDA","UNOMINDA.NS","UNO Minda Ltd.","unominda|uno minda ltd.|uno minda"
"UPL","UPL.NS","UPL Ltd.","upl|upl ltd."
"UTIAMC","UTIAMC.NS","UTI Asset Management Company Ltd.","utiamc|uti asset management company ltd.|uti asset management"
"ULTRACEMCO","ULTRACEMCO.NS","UltraTech Cement Ltd.","ultracemco|ultratech cement ltd.|ultratech cement|ultratech"
"UNIONBANK","UNIONBANK.NS","Union Bank of India","unionbank|union bank of india|union bank of"
"UBL","UBL.NS","United Breweries Ltd.","ubl|united breweries ltd.|united breweries"
"UNITDSPR","UNITDSPR.NS","United Spirits Ltd.","unitdspr|united spirits ltd.|united spirits|mcdowell"
"URBANCO","URBANCO.NS","Urban Company Ltd.","urbanco|urban company ltd.|urban"
"USHAMART","USHAMART.NS","Usha Martin Ltd.","ushamart|usha martin ltd.|usha martin"
"VTL","VTL.NS","Vardhman Textiles Ltd.","vtl|vardhman textiles ltd.|vardhman textiles"
"VBL","VBL.NS","Varun Beverages Ltd.","vbl|varun beverages ltd.|varun beverages"
"VEDL","VEDL.NS","Vedanta Ltd.","vedl|vedanta ltd.|vedanta"
"VIJAYA","VIJAYA.NS","Vijaya Diagnostic Centre Ltd.","vijaya|vijaya diagnostic centre ltd.|vijaya diagnostic centre"
"VMM","VMM.NS","Vishal Mega Mart Ltd.","vmm|vishal mega mart ltd.|vishal mega mart"
"IDEA","IDEA.NS","Vodafone Idea Ltd.","idea|vodafone idea ltd.|vodafone idea"
"VOLTAS","VOLTAS.NS","Voltas Ltd.","voltas|voltas ltd."
"WAAREEENER","WAAREEENER.NS","Waaree Energies Ltd.","waareeener|waaree energies ltd.|waaree energies"
"WELCORP","WELCORP.NS","Welspun Corp Ltd.","welcorp|welspun corp ltd.|welspun"
"WELSPUNLIV","WELSPUNLIV.NS","Welspun Living Ltd.","welspunliv|welspun living ltd.|welspun living"
"WHIRLPOOL","WHIRLPOOL.NS","Whirlpool of India Ltd.","whirlpool|whirlpool of india ltd.|whirlpool of"
"WIPRO","WIPRO.NS","Wipro Ltd.","wipro|wipro ltd."
"WOCKPHARMA","WOCKPHARMA.NS","Wockhardt Ltd.","wockpharma|wockhardt ltd.|wockhardt"
"YESBANK","YESBANK.NS","Yes Bank Ltd.","yesbank|yes bank ltd.|yes bank"
"ZFCVINDIA","ZFCVINDIA.NS","ZF Commercial Vehicle Control Systems India Ltd.","zfcvindia|zf commercial vehicle control systems india ltd.|zf commercial vehicle control systems"
"ZEEL","ZEEL.NS","Zee Entertainment Enterprises Ltd.","zeel|zee entertainment enterprises ltd.|zee entertainment enterprises"
"ZENTEC","ZENTEC.NS","Zen Technologies Ltd.","zentec|zen technologies ltd.|zen technologies"
"ZENSARTECH","ZENSARTECH.NS","Zensar Technolgies Ltd.","zensartech|zensar technolgies ltd.|zensar technolgies"
