"symbol","yahoo_symbol","name","aliases"
"ASHOKLEY","ASHOKLEY.NS","Ashok Leyland Ltd.","ashokley|ashok leyland ltd.|ashok leyland"
"ASIANPAINT","ASIANPAINT.NS","Asian Paints Ltd.","asianpaint|asian paints ltd.|asian paints"
"ASTERDM","ASTERDM.NS","Aster DM Quality Care Ltd.","asterdm|aster dm quality care ltd.|aster dm quality care"
"ASTRAL","ASTRAL.NS","Astral Ltd.","astral|astral ltd."
"ATHERENERG","ATHERENERG.NS","Ather Energy Ltd.","atherenerg|ather energy ltd.|ather energy"
"ATUL","ATUL.NS","Atul Ltd.","atul|atul ltd."
"AUROPHARMA","AUROPHARMA.NS","Aurobindo Pharma Ltd.","auropharma|aurobindo pharma ltd.|aurobindo pharma"
"AIIL","AIIL.NS","Authum Investment & Infrastructure Ltd.","aiil|authum investment & infrastructure ltd.|authum investment & infrastructure"
"DMART","DMART.NS","Avenue Supermarts Ltd.","dmart|avenue supermarts ltd.|avenue supermarts|d-mart"
"AXISBANK","AXISBANK.NS","Axis Bank Ltd.","axisbank|axis bank ltd.|axis bank|axis"
"BEML","BEML.NS","BEML Ltd.","beml|beml ltd."
"BLS","BLS.NS","BLS International Services Ltd.","bls|bls international services ltd.|bls international services"
"BSE","BSE.NS","BSE Ltd.","bse|bse ltd."
"BAJAJ-AUTO","BAJAJ-AUTO.NS","Bajaj Auto Ltd.","bajaj-auto|bajaj auto ltd.|bajaj auto"
"BAJFINANCE","BAJFINANCE.NS","Bajaj Finance Ltd.","bajfinance|bajaj finance ltd.|bajaj finance"
"BAJAJFINSV","BAJAJFINSV.NS","Bajaj Finserv Ltd.","bajajfinsv|bajaj finserv ltd.|bajaj finserv"
"BAJAJHLDNG","BAJAJHLDNG.NS","Bajaj Holdings & Investment Ltd.","bajajhldng|bajaj holdings & investment ltd.|bajaj holdings & investment"
"BAJAJHFL","BAJAJHFL.NS","Bajaj Housing Finance Ltd.","bajajhfl|bajaj housing finance ltd.|bajaj housing finance"
"BALKRISIND","BALKRISIND.NS","Balkrishna Industries Ltd.","balkrisind|balkrishna industries ltd.|balkrishna"
"BALRAMCHIN","BALRAMCHIN.NS","Balrampur Chini Mills Ltd.","balramchin|balrampur chini mills ltd.|balrampur chini mills"
"BANDHANBNK","BANDHANBNK.NS","Bandhan Bank Ltd.","bandhanbnk|bandhan bank ltd.|bandhan bank"
"BANKBARODA","BANKBARODA.NS","Bank of Baroda","bankbaroda|bank of baroda|bob"
"BANKINDIA","BANKINDIA.NS","Bank of India","bankindia|bank of india|bank of"
"MAHABANK","MAHABANK.NS","Bank of Maharashtra","mahabank|bank of maharashtra"
"BATAINDIA","BATAINDIA.NS","Bata India Ltd.","bataindia|bata india ltd.|bata"
"BAYERCROP","BAYERCROP.NS","Bayer Cropscience Ltd.","bayercrop|bayer cropscience ltd.|bayer cropscience"
"BELRISE","BELRISE.NS","Belrise Industries Ltd.","belrise|belrise industries ltd."
"BERGEPAINT","BERGEPAINT.NS","Berger Paints India Ltd.","bergepaint|berger paints india ltd.|berger paints|berger"
"BDL","BDL.NS","Bharat Dynamics Ltd.","bdl|bharat dynamics ltd.|bharat dynamics"
"BEL","BEL.NS","Bharat Electronics Ltd.","bel|bharat electronics ltd.|bharat electronics"
"BHARATFORG","BHARATFORG.NS","Bharat Forge Ltd.","bharatforg|bharat forge ltd.|bharat forge"
"BHEL","BHEL.NS","Bharat Heavy Electricals Ltd.","bhel|bharat heavy electricals ltd.|bharat heavy electricals"
"BPCL","BPCL.NS","Bharat Petroleum Corporation Ltd.","bpcl|bharat petroleum corporation ltd.|bharat petroleum"
"BHARTIARTL","BHARTIARTL.NS","Bharti Airtel Ltd.","bhartiartl|bharti airtel ltd.|bharti airtel|airtel"
"BHARTIHEXA","BHARTIHEXA.NS","Bharti Hexacom Ltd.","bhartihexa|bharti hexacom ltd.|bharti hexacom"
"BIKAJI","BIKAJI.NS","Bikaji Foods International Ltd.","bikaji|bikaji foods international ltd.|bikaji foods international"
"GROWW","GROWW.NS","Billionbrains Garage Ventures Ltd.","groww|billionbrains garage ventures ltd.|billionbrains garage ventures"
"BIOCON","BIOCON.NS","Biocon Ltd.","biocon|biocon ltd."
"BSOFT","BSOFT.NS","Birlasoft Ltd.","bsoft|birlasoft ltd.|birlasoft"
"BLUEDART","BLUEDART.NS","Blue Dart Express Ltd.","bluedart|blue dart express ltd.|blue dart express"
"BLUEJET","BLUEJET.NS","Blue Jet Healthcare Ltd.","bluejet|blue jet healthcare ltd.|blue jet healthcare"
"BLUESTARCO","BLUESTARCO.NS","Blue Star Ltd.","bluestarco|blue star ltd.|blue star"
"BBTC","BBTC.NS","Bombay Burmah Trading Corporation Ltd.","bbtc|bombay burmah trading corporation ltd.|bombay burmah trading"
"BOSCHLTD","BOSCHLTD.NS","Bosch Ltd.","boschltd|bosch ltd.|bosch"
"FIRSTCRY","FIRSTCRY.NS","Brainbees Solutions Ltd.","firstcry|brainbees solutions ltd.|brainbees solutions"
"BRIGADE","BRIGADE.NS","Brigade Enterprises Ltd.","brigade|brigade enterprises ltd.|brigade enterprises"
"BRITANNIA","BRITANNIA.NS","Britannia Industries Ltd.","britannia|britannia industries ltd."
"MAPMYINDIA","MAPMYINDIA.NS","C.E. Info Systems Ltd.","mapmyindia|c.e. info systems ltd.|c e info systems"
"CCL","CCL.NS","CCL Products (I) Ltd.","ccl|ccl products (i) ltd.|ccl products i"
"CESC","CESC.NS","CESC Ltd.","cesc|cesc ltd."
"CGPOWER","CGPOWER.NS","CG Power and Industrial Solutions Ltd.","cgpower|cg power and industrial solutions ltd.|cg power and industrial solutions"
"CIEINDIA","CIEINDIA.NS","CIE Automotive India Ltd.","cieindia|cie automotive india ltd.|cie automotive"
"CRISIL","CRISIL.NS","CRISIL Ltd.","crisil|crisil ltd."
"CANFINHOME","CANFINHOME.NS","Can Fin Homes Ltd.","canfinhome|can fin homes ltd.|can fin homes"
"CANBK","CANBK.NS","Canara Bank","canbk|canara bank"
"CANHLIFE","CANHLIFE.NS","Canara HSBC Life Insurance Company Ltd.","canhlife|canara hsbc life insurance company ltd.|canara hsbc life insurance"
"CAPLIPOINT","CAPLIPOINT.NS","Caplin Point Laboratories Ltd.","caplipoint|caplin point laboratories ltd.|caplin point laboratories"
"CGCL","CGCL.NS","Capri Global Capital Ltd.","cgcl|capri global capital ltd.|capri global capital"
"CARBORUNIV","CARBORUNIV.NS","Carborundum Universal Ltd.","carboruniv|carborundum universal ltd.|carborundum universal"
"CARTRADE","CARTRADE.NS","Cartrade Tech Ltd.","cartrade|cartrade tech ltd.|cartrade tech"
"CASTROLIND","CASTROLIND.NS","Castrol India Ltd.","castrolind|castrol india ltd.|castrol"
"CEATLTD","CEATLTD.NS","Ceat Ltd.","ceatltd|ceat ltd.|ceat"
"CEMPRO","CEMPRO.NS","Cemindia Projects Ltd.","cempro|cemindia projects ltd.|cemindia projects"
"CENTRALBK","CENTRALBK.NS","Central Bank of India","centralbk|central bank of india|central bank of"
"CDSL","CDSL.NS","Central Depository Services (India) Ltd.","cdsl|central depository services (india) ltd.|central depository services"
"CHALET","CHALET.NS","Chalet Hotels Ltd.","chalet|chalet hotels ltd.|chalet hotels"
"CHAMBLFERT","CHAMBLFERT.NS","Chambal Fertilizers & Chemicals Ltd.","chamblfert|chambal fertilizers & chemicals ltd.|chambal fertilizers & chemicals"
"CHENNPETRO","CHENNPETRO.NS","Chennai Petroleum Corporation Ltd.","chennpetro|chennai petroleum corporation ltd.|chennai petroleum"
"CHOICEIN","CHOICEIN.NS","Choice International Ltd.","choicein|choice international ltd.|choice international"
"CHOLAHLDNG","CHOLAHLDNG.NS","Cholamandalam Financial Holdings Ltd.","cholahldng|cholamandalam financial holdings ltd.|cholamandalam financial holdings"
"CHOLAFIN","CHOLAFIN.NS","Cholamandalam Investment and Finance Company Ltd.","cholafin|cholamandalam investment and finance company ltd.|cholamandalam investment and finance|chola finance|cholamandalam"
"CIPLA","CIPLA.NS","Cipla Ltd.","cipla|cipla ltd."
"CUB","CUB.NS","City Union Bank Ltd.","cub|city union bank ltd.|city union bank"
"CLEAN","CLEAN.NS","Clean Science and Technology Ltd.","clean|clean science and technology ltd.|clean science and technology"
"COALINDIA","COALINDIA.NS","Coal India Ltd.","coalindia|coal india ltd.|coal|coal india"
"COCHINSHIP","COCHINSHIP.NS","Cochin Shipyard Ltd.","cochinship|cochin shipyard ltd.|cochin shipyard"
"COFORGE","COFORGE.NS","Coforge Ltd.","coforge|coforge ltd."
"COHANCE","COHANCE.NS","Cohance Lifesciences Ltd.","cohance|cohance lifesciences ltd.|cohance lifesciences"
"COLPAL","COLPAL.NS","Colgate Palmolive (India) Ltd.","colpal|colgate palmolive (india) ltd.|colgate palmolive"
"CAMS","CAMS.NS","Computer Age Management Services Ltd.","cams|computer age management services ltd.|computer age management services"
"CONCORDBIO","CONCORDBIO.NS","Concord Biotech Ltd.","concordbio|concord biotech ltd.|concord biotech"
"CONCOR","CONCOR.NS","Container Corporation of India Ltd.","concor|container corporation of india ltd.|container of"
"COROMANDEL","COROMANDEL.NS","Coromandel International Ltd.","coromandel|coromandel international ltd.|coromandel international"
"CRAFTSMAN","CRAFTSMAN.NS","Craftsman Automation Ltd.","craftsman|craftsman automation ltd.|craftsman automation"
"CREDITACC","CREDITACC.NS","CreditAccess Grameen Ltd.","creditacc|creditaccess grameen ltd.|creditaccess grameen"
